A lot	ᏥᏍᏈᏍᏓ	[tsgwisda] /rrd/
Bullying	ᎦᏁᏄᎵᎠ	[ganeːnúliʔa] /rrd/
Bumping his elbow	ᎤᎫᏍᏆᎶᎠ	[uːhkuhsgwalóːʔa] /rrd/
Bumping his head	ᎠᏓᏍᏆᎶᏍᏗᎭ	[adaːsgwaloːsdiha] /rrd/
Bumping someone's head	ᎠᏍᏆᎶᎠ	[ahsgwaloʔa] /rrd/
Bundle	ᎠᏓᎳᏒᎯ	[adahlsvhi] /rrd/
Burial	ᎦᏂᏌᎲᎢ	[ganiːsahvʔi] /rrd/
Burlap sack	ᏙᎴᏓ	[toːleːda] /rrd/
Burner on a stove	ᎤᏓᏪᎳᎩᏍᏗ	[uːdaweːlagʔisdi] /rrd/
Burning	ᎠᎪᎲᏍᎦ	[agoːhvhsga] /rrd/
Burning	ᎠᏙᏪᎳᎩᎠ	[adoweːlaːgiʔa] /rrd/
Burning himself with hot food	ᎠᎱᎴᏴᏍᎦ	[ahuleːyvhsga] /rrd/
Burning it	ᎠᎪᎲᏍᏗᎭ	[agoʔhvsdiha] /rrd/
Burning it	ᎦᎴᏗᎭ	[galehdiha] /rrd/
Burning up	ᎠᎪᎲᏍᎦ	[agʔohv́hsga] /rrd/
Burying him	ᎦᏂᏌᎲᏍᎦ	[ganiːsáhvːsga] /rrd/
Burying it	ᎦᏄᎳᏒᎥᏍᎦ	[ganuːlǎːhsvʔvːsga] /rrd/
Bush	ᎤᏓᏁᎶᎲ	[uːdaneːlohvː] /rrd/
Bush	ᏗᎤᏓᏍᎦ	[diʔudaːsga] /rrd/
Business	ᏗᎦᎸᏫᏍᏓᏁᏗ	[digalvːhwisdandi] /rrd/
But yet	ᎠᏎᏃ	[ahseːhno] /rrd/
Butcher knife	ᎡᏆ ᎭᏰᎳᏍᏗ	[eːgwa hayeːlahsdi] /rrd/
Buteo jamaicensis	ᏔᏬᏗ ᎡᏆ	[tawoːdʔ eːgwa] /rrd/
Buteo spp	ᏔᏬᏗ	[tawoːdi] /rrd/
Butter	ᎪᏒᏅ	[gosvːnv] /rrd/
Butter bean	ᏚᏯᏁᏆ	[tuːyaneːgwa] /rrd/
Butterfly	ᎧᎹᎹ	[kamaːma] /rrd/
Butternut	ᎪᎯ	[koːhi] /rrd/
Button	ᎠᎦᏁᏍᏗ	[aʔganeːsdi] /rrd/
Buying it	ᎤᏩᏍᎦ	[uːhwahsga] /rrd/
Buying things	ᎤᏩᏒᎥᏍᎦ	[uːhwásvʔvhsga] /rrd/
Buzzard	ᏑᎵ	[suːli] /rrd/
Buzzards	ᎠᏂᏑᎵ	[aniːsuːli] (they are) /rrd/
By oneself	ᎤᏩᏌ	[uːwahsa] /rrd/
Cabbage	ᎤᏍᎨᏫ	[uhsgeːwi] /rrd/
Cairina moschata	ᏙᎦᏏ	[doːgsi] /rrd/
Calendar	ᏅᏙᏗᏎᏍᏗ	[nvdodisesdi] /rrd/
Calf	ᏩᎧ ᎠᎩᎾ	[waka agiːna] /rrd/
Calf of the leg	ᎦᏍᏓᎨᏂ	[gasdgeːni] (his) /rrd/
Calling	ᎦᎸᏛᏂᎭ	[galvːdv́ʔniːha] (idiom) /rrd/
Calling out	ᎠᏯᏂᎭ	[ahyániha] /rrd/
Calling out to him	ᏩᏯᏂᎭ	[wahyaːniha] /rrd/
Camel	ᎨᎻᎵ	[keːmili] /rrd/
Camera	ᏗᏓᏥᎶᏍᏗᏍᎩ	[didatsiːloːsdiːsgi] /rrd/
Can house	ᎦᎵᏔᏅᏔᏅ ᎠᏗ	[gaːhltanvːtanvʔ aːhdi] /rrd/
Can house	ᏧᏁᏍᏓᎳ ᏗᏗᏳ	[tsuːnesdala diːhdiːyu] /rrd/
Canadian lousewort	ᎤᎫᎫᏍᏙ	[uguːkuːsdo] /rrd/
Cancer	ᎠᏓᏰᏍᎩ	[adaːyeːsgi] /rrd/
Candy roaster squash	ᎤᎾᏤᏥᏍᏗ	[untseːtshsdi] /rrd/
Canis lupus	ᏩᏯ	[waːhya] /rrd/
Canis lupus familiaris	ᎩᎵ	[giːhli] /rrd/
Canning it	ᎦᎶᏔᏅᎥᏍᎦ	[gahlohtanv́ʔvːsga] /rrd/
Canoe	ᏥᏳ	[tsiːyu] /rrd/
Cantaloupe	ᎦᏩᏒᎩ	[gaːwhsvːgi] /rrd/
Cap over a stove pipe	ᎠᏍᏇᏚᏍᏗ	[ahsgweːtuhsdi] /rrd/
Capra spp	ᏧᎦᏍᏆᎾᎩᏓ	[tsuːksgwanagiːda] /rrd/
Car	ᏓᏆᎴᎷ	[daːgwaleːlu] /rrd/
Cardinal	ᏙᏧᏩ	[toːtsuːwa] /rrd/
Cardinalis cardinalis	ᏙᏧᏩ	[toːtsuːwa] /rrd/
Carolina wren	ᎠᎵᏔᎹ	[alihtama] /rrd/
Carolina yelloweyed grass	ᏓᎶᏂᎨ ᎤᎾᏍᏕᏥ	[daloːnige unasdeːtsi] /rrd/
Carpenter	ᎠᏲᎳᏅᎥᏍᎩ	[ayohlanvːʔvːsgi] /rrd/
Carrion flower	ᏏᎦᏓᏍᎩ	[siːgadaːsgi] /rrd/
Carrots	ᏓᎶᏂᎨ ᎦᎳᏗᏍᎩ	[daloːnige gaːladiːsgi] /rrd/
Carrying it	ᎦᎾᏥ	[ganhtsi] (a liquid) /rrd/
Carrying it	ᎦᏁᏫᏗᎭ	[ganewiːdiːha] (a liquid) off /rrd/
Carrying it	ᎦᏁᎧ	[ganehga] (something flexible) /rrd/
Carrying it	ᎦᏁᎭ	[ganheːha] (something flexible) /rrd/
Carrying it	ᎦᏂ	[gáːni] (something long) /rrd/
Carrying it	ᎠᏱ	[ayhi] (something solid) /rrd/
Carrying it by	ᎠᏴᏍᏗᎭ	[ayvːsdiha] (something solid) /rrd/
Carrying it off	ᎦᎾᏫᏗᎭ	[ganawiːdiːha] (something alive) or (something flexible) /rrd/
Carrying it off	ᎦᏯᏫᏗᎭ	[gayawiːdiːha] (something long) /rrd/
Carrying it off	ᎠᏫᏗᎭ	[awiːdiha] (something solid) /rrd/
Carrying it on his back	ᎠᎵᏎᎭ	[aliːseːha] /rrd/
Carving it	ᎠᏲᎳᏅᎥᏍᎦ	[ayóːʔlanvʔvhsga] /rrd/
Carving, a	ᎠᏲᎳᏅᏅ	[ayoːhlanvːnv] (wood, stone, etc.) /rrd/
Carya spp	ᏐᎯ	[soːhi] /rrd/
Carya spp	ᏩᏁᎢ	[waneʔi] /rrd/
Castanea	ᏓᏑᏓᏆᎴᏆ	[dahsuːdagwaleːgwa] /rrd/
Castanea dentata	ᏘᎵ	[tiːli] /rrd/
Castanea pumila	ᎤᏅᎩᏅ	[uhnvgiːnv] /rrd/
Castor canadensis	ᏙᏯ	[doːya] /rrd/
Castor oil beans	ᏗᏕᏍᏗᏓᏁᏆ	[dideːsdidaneːgwa] /rrd/
Cat	ᏪᏌ	[weːhsa] /rrd/
Cat greenbriar	ᏄᎦᎸ	[nuːgaːhlv] /rrd/
Catawba	ᎠᏂᏔᏈ	[aniːtaːgwi] /rrd/
Catberry	ᎤᏍᏓᏍᏗ	[uhsdahsdi] /rrd/
Catbriar	ᏄᎦᎸ	[nuːgaːhlv] /rrd/
Catcher, hind	ᎣᏁᎦᏂᏱᏍᎩ	[ohneːganiːyisgi] (baseball) /rrd/
Catching fire	ᎠᏥᏍᏓᎵᎦ	[atsíːsdahlga] /rrd/
Catching something thrown or chased	ᎦᏂᏱᎭ	[ganíːyiːha] /rrd/
Caterpillar	ᏥᎪᏱ ᎠᏁᏍᎩᎸᎥᏍᎩ	[tsgoːyi aneːsgilvʔvsgi] /rrd/
Catfish	ᏧᎵᏍᏓᎾᎵ	[tsuliːsdanaːli] /rrd/
Cathartes aura	ᏑᎵ	[suːli] /rrd/
Causing it to flow	ᎨᏴᎯᏍᏗᎭ	[geːʔyvːhiːsdiha] /rrd/
Cave	ᎤᏍᏓᎦᎸᎢ	[usdaːgalvːʔi] /rrd/
Cavern	ᎤᏍᏓᎦᎸᎢ	[usdaːgalvːʔi] /rrd/
Ceasing	ᎠᏲᎯᏍᏗᎭ	[ayohiːsdiha] /rrd/
Cedar	ᎠᏥᏂ	[aʔtsiːni] /rrd/
Cedar waxwing	ᎤᏃᏴ	[uːnoːyv] /rrd/
Cemetary	ᏗᏓᏂᏐᏗᏳ	[didanisoːhdiyu] /rrd/
Cemetary	ᏗᏓᏂᏐᏗᏳ	[didaːnisoːdiyu] /rrd/
Cent	ᏎᏅᏏ	[seːnhsi] /rrd/
Cervus canadensis	ᎠᏩ ᎤᏔᎾ	[ahwa uːtana] /rrd/
Chaetura pelagica	ᎠᏂᎪᏍᏓᏯ	[aniːgohsdahya] /rrd/
Chair	ᎦᏍᎩᎶᎯ	[gasgilohi] /rrd/
Challenging	ᎦᏁᏄᎵᎠ	[ganeːnúliʔa] /rrd/
Chapter	ᎠᏯᏙᎸᎢ	[ayaːdohlvʔi] /rrd/
Charcoal	ᎧᏃᏍᎬ	[kanoːsgv] /rrd/
Chasing him/it	ᎠᎨᎯ	[ahkehi] /rrd/
Chattanooga	ᏣᏓᏄᎩ	[tsadanuːgi] /rrd/
Cheating, deceiving, tricking, fooling	ᎦᎶᏅᎮᎭ	[galoːnvːheːha] (him) /rrd/
Chebecker	ᏥᎪᏱᏙᏍᏗ	[dsgoːyiʔdosdi] (bird) /rrd/
Check	ᎪᏪᎵ ᎠᏕᎳ ᏤᎦ	[goːhweːli adeːla tseːga] (written payment document) /rrd/
Cheek	ᎦᎦᏆᎴᏂ	[gakgwaleːni] (his) /rrd/
Chelone spp	ᎠᏫ ᎦᏁᎪᎢ	[ahwi gahngoʔi] /rrd/
Chelydra serpentina	ᏌᎵᎫᎩ	[salígúːgi] /rrd/
Cheraw or sera	ᎠᏂᏑᏩᎵ	[aniːsuwaːli] /rrd/
Cherokee	ᎠᏴᏫᏯ	[ayvːwiya] /rrd/
Cherry	ᏔᏯ	[taːya] /rrd/
Chest	ᎦᏁᏥᎢ	[ganeːtsiʔi] (of his body) (his) /rrd/
Chestnut	ᏓᏑᏓᏆᎴᏆ	[dahsuːdagwaleːgwa] /rrd/
Chestnut	ᏘᎵ	[tiːli] /rrd/
Chestnut bread	ᏘᎵ ᎠᏑᏱ ᎦᏚ	[tili asuːyi gaːdu] /rrd/
Chestnut-sided warbler	ᏚᏯ	[duːya] /rrd/
Chewing gum	ᎠᏣ ᎠᎩᏍᏙᏍᏗ	[aːtsa agʔisdoːsdi] /rrd/
Chewing it	ᎠᎩᏍᏙᎠ	[agʔihsdóːʔa] /rrd/
Chickadee	ᏥᎩᎵᎵ	[tsigiliːli] /rrd/
Chickasaw	ᎠᏂᏥᎧᏌ	[aniːtsiːkasa] /rrd/
Chicken	ᏥᏓᎦ	[tsidaːga] /rrd/
Chief	ᎤᎬᏫᏳᎯ	[uːgvːwiyuhi] /rrd/
Child	ᎠᏲᎵ	[ayoːhli] /rrd/
Child	ᎤᏪᏥ	[uweːtsi] (his) /rrd/
Chimaphila maculata	ᎠᏨᎩ ᎢᎾᎨ ᎡᎯ	[ahtsvːgi inageː ehi] /rrd/
Chimney	ᎠᎱᏣᏬᎳᏛᎢ	[ahuːtsawoːladvːʔi] /rrd/
Chimney swift	ᎠᏂᎪᏍᏓᏯ	[aniːgohsdahya] /rrd/
Chin	ᎠᏳᎨᏂ	[ayuhkeːni] /rrd/
Chipmunk, eastern	ᎩᏳᎦ	[kiyuːga] /rrd/
Choctaw	ᎠᏂᏣᎧᏔ	[aniːtsaːkta] /rrd/
Choking him	ᎥᏍᎩᏱᎭ	[vːsgiːyiha] /rrd/
Choosing them	ᏓᏑᏯᎩᎠ	[daːhsuːyagíʔa] /rrd/
Chopping it	ᎦᎷᏱᏍᎦ	[galúʔyhsga] /rrd/
Chordeiles minor	ᏓᎳᏍᏙᎬ	[daːhlsdoːgv] /rrd/
Christian	ᏧᏁᎸᏗ	[tsuneːhldi] /rrd/
Christmas	ᎤᎾᏕᏘᏱᏍᎬᎢ	[unadeːtiyisgvʔi] /rrd/
Church	ᏗᎦᎳᏫᎢᏍᏗ	[digalaːwiʔisdi] /rrd/
Churn	ᎦᏓᎫᎦ	[gaːdaguːga] /rrd/
Churning it	ᎠᏍᏙᎠ	[ahsdoːʔa] /rrd/
Cigar	ᎪᎦᏍᏗ	[goːksdi] /rrd/
Cigarette	ᎪᎦᏍᏗ	[goːksdi] /rrd/
Circus hudsonius	ᎠᎪᏕᎯ	[agodʔehi] /rrd/
Citrullus lanatus	ᎬᎩᏍᏗ	[gvgiːsdi] /rrd/
Clan	ᎤᏍᏓᎸᎢ	[uːhsdaːhlvʔi] (his) /rrd/
Clan members	ᏓᏂᎳᏍᏓᏛᎢ	[danilaːsdadvʔi] /rrd/
Clarinet	ᎦᏤᎷᎩᏍᏙᏗ	[gaːtseːhlukiːsdoːhdi] /rrd/
Class Hirudinea	ᏣᏄᏏ	[tsaːnuːsi] /rrd/
Clay	ᎦᏓᏆᎵ	[gadagwaːli] /rrd/
Cleaning	ᎦᏅᎦᎵᎠ	[ganvːgáliʔa] (1) /rrd/
Cleaning	ᎦᏅᎦᎵᎭ	[ganvːgáliːha] (2) /rrd/
Clearing a field	ᎦᎶᎨᏗᎠ	[galogeːdiʔa] /rrd/
Clearing a path	ᎠᏣᎦᏍᎦ	[atsaːksga] /rrd/
Clearing it	ᎧᏅᎠ	[kanvːʔa] (flexible) away /rrd/
Clearing it	ᎦᎾᎬᎠ	[ganáʔgvʔa] (something flexible) off /rrd/
Clearing it away	ᎠᎧᎲᎠ	[akahvːʔa] (something alive) /rrd/
Clearing it away	ᎠᏏᏴᎠ	[ahsíːyvʔa] (something long) /rrd/
Climbing	ᎦᎳᎯ	[gaʔlaːhi] (up) /rrd/
Climbing a hill or mountain	ᎧᎿᎷᏍᎦ	[kanalǔːhsga] /rrd/
Climbing over	ᎠᏓᏬᎯᎵᏗᎠ	[adawohildiʔa] /rrd/
Clock	ᎦᎾᏁᏍᎩ	[gaʔnanesgi] /rrd/
Close by	ᎾᎥᏂ	[naʔv́ʔni] /rrd/
Closing it	ᎠᏍᏚᎲᏍᎦ	[ahsduhv́hsga] /rrd/
Cloth	ᎠᏅᏬ	[aːhnvwo] /rrd/
Cloth sack	ᏕᎦᎵᏗ	[degaːhldi] /rrd/
Clothes dryer	ᏗᏅᏬ ᏗᎧᏲᏗᏍᎩ	[diːhnvwo dikaːhyodihsgi] /rrd/
Cloud	ᎤᎶᎩᎸ	[uːloːgilvː] /rrd/
Coaching	ᎠᏏᏅᏍᏗᎭ	[ahsínhvhsdiha] /rrd/
Coal	ᎧᏃᏍᎬ	[kanoːsgv] /rrd/
Coat	ᎦᏌᎴᎾ	[gaːsaleːna] /rrd/
Coat	ᎤᏌᎴᏂ	[uːsaleːni] (his) /rrd/
Coccyzus Americanus	ᏓᎶᎬ	[daloːgv] /rrd/
Coffee	ᎪᏫ	[koːwi] /rrd/
Coix lacryma  -jobi	ᏎᎷ ᎤᏂᏥ	[seːlu uniːtsi] /rrd/
Colaptes auratus auratus	ᎤᏁᎦᏓ	[uneːgaːda] /rrd/
Cold	ᎤᏴᏣ	[uːhyvːtsa] /rrd/
Cold	ᎧᎾᏬᎦ	[kanawóːga] /rrd/
Cold water	ᎠᎹ ᎤᏯᏥ	[am uhyaːtsi] /rrd/
Colinus virginianus	ᎤᎫᏇᎯ	[ukgweːhi] /rrd/
Collander	ᎦᏁᏐᎸᏍᏙᏗ	[ganesoːlvsdoʔdi] /rrd/
Collar	ᎠᏯᏨᏗ	[ahyatsvhdi] /rrd/
Colt	ᏐᏈᎵ ᎠᎩᎾ	[sogwili agiːna] /rrd/
Coluber constrictor	ᎤᎦᏑᎯ	[uːgsuhi] /rrd/
Comb	ᏗᎵᏔᏬᏍᏙᏗ	[diːhltawoːsdoːdi] /rrd/
Combing hair	ᎠᏔᏬᎠ	[ahtawóːʔa] /rrd/
Come in	ᎦᎵᏦᏕ	[gaːhltsoːde] /rrd/
Come to a point …	ᎠᎵᏰᎶᏍᎦ	[ahliyéhlohsga] /rrd/
Coming back to life	ᎠᏛᏂᏗᎠ	[advhniːdiʔa] /rrd/
Coming to an end	ᎠᏍᏛᏍᎦ	[ahstvhsga] /rrd/
Coming/going back	ᎢᎦᎷᎦ	[íːgaluhga] /rrd/
Common evening-primrose	ᎠᎾᏓᏥ	[andaːtsi] /rrd/
Common greenbrier	ᎠᏂᏍᎩᎾ ᎤᎾᏁᏌᏓ	[aniːsgina unanehsada] /rrd/
Coneflower	ᏐᏤᎾ	[soːtseːna] /rrd/
Congaree	ᎠᏂᎩᎵ	[aniːgiːhli] (the dog people), see Mooney pg 508 /rrd/
Congregating	ᎠᎾᏓᏥᎩᎭ	[anadadsgiha] (they are) /rrd/
Conjuring	ᎠᏓᏁᏌᎩᎠ	[adahnehsagiʔa] /rrd/
Conjuring	ᏓᏙᏂᎭ	[daːdoːniːha] /rrd/
Conserving it	ᎠᎵᏏᏅᏗᎭ	[ahlsíːhndiha] /rrd/
Considering	ᎠᏓᏅᏖᏏᎭ	[adaːntéhsiha] /rrd/
Constitution	ᎠᏓᎶᏍᏗ	[adaːʔloːsdi] /rrd/
Container for it	ᎠᏥᏍᏙᏗ	[atsíhsdohdi] (a liquid) /rrd/
Container for it	ᎦᎸᏙᏗ	[gaːhlvːdoːhdi] (something flexible) /rrd/
Container for solid items	ᎦᎵᏔᏅᏙᏗ	[gaːhltanvːdoːhdi] /rrd/
Container for something long	ᎦᎳᏗᏍᏙᏗ	[gaːhladisdoːhdi] /rrd/
Cook	ᎤᏍᏓᏴᎲᏍᎩ	[uːsdaːyvhvsgi] /rrd/
Cooking	ᎬᏂᏍᎦ	[gvnhsga] /rrd/
Copperhead	ᏬᏗᎨᎠᏍᎪᎵ	[woːdigeːasgoːli] /rrd/
Cork	ᏚᏬᎵ	[duwoːhli] /rrd/
Corn	ᏎᎷ	[seːlu] /rrd/
Corn beer	ᎠᎹᎨᎢ	[amageʔi] /rrd/
Corn bread	ᏎᎷ ᎦᏚ	[selu gaːdu] /rrd/
Corn cob	ᎤᏗ	[uːdi] /rrd/
Corn tassel	ᎤᏥᏣᏗ	[utsiːtsadi] /rrd/
Corn tassel is falling off	ᎠᏥᎳᏙᎣᏍᎦ	[atsiːladoʔohsga] /rrd/
Corner	ᎤᏅᏏᏴᎢ	[unvːsiyvːʔi] /rrd/
Cornsilk	ᏎᎷ ᎤᏁᏄᏗ	[seːlu uneːnuːhdi] /rrd/
Corpse	ᎤᏴᎰᏒᎯ	[uːyvhoːsvhi] /rrd/
Correct	ᏚᏳᎦᏔ	[duyuːkta] /rrd/
Corvus brachyrhynchos	ᎪᎦ	[koːga] /rrd/
Corylus americana	ᎠᏳᎩᏓ	[ahyugiːda] /rrd/
Cost	ᏧᎬᏩᎶᏗ	[tsuːgvːwaːhldi] /rrd/
Cotton	ᎤᏥᎸ	[uːtsiʔlv] /rrd/
Cotton grass	ᏥᏍᏚ ᏍᎩᏓᏘ	[tsiːsdu sgiːdati] /rrd/
Cotton thistle	ᏥᏥ	[tsiːtsi] /rrd/
Cottonmouth	ᎧᏁᏉᏓ	[kaneːgwoːda] /rrd/
Cottonwood	ᎠᏓ ᎬᏂᎯᏛ	[aʔda gvnihiːdv] /rrd/
Cottus spp	ᏥᏍᏆᎸᎾ	[tsisgwalvːna] /rrd/
Coughing	ᎤᏏᏩᏍᎦ	[uːhsihwáhsga] /rrd/
Council house	ᏗᎦᎳᏫᎢᏍᏗ	[digalaːwiʔisdi] /rrd/
Counting	ᎠᏎᎯᎭ	[ahséhiha] /rrd/
County	ᎦᏚᎩ	[gaːduːgi] /rrd/
Covered with dirt	ᎦᏄᎳᏌᎠ	[ganuːlǎːhsaʔa] /rrd/
Covering himself	ᎠᏚᏒᎥᏍᎦ	[adúːsvːʔvhsga] /rrd/
Covering it	ᎫᏌᎥᏍᎦ	[gúːsaʔvːsga] /rrd/
Covering it with dirt	ᎦᏄᎳᏒᎥᏍᎦ	[ganuːlǎːhsvʔvːsga] /rrd/
Cow	ᏩᎧ	[waka] /rrd/
Cow's foot	ᏩᎧ ᎤᎳᏏᏗ	[waka ulasiːdi] /rrd/
Coward	ᎤᏍᎦᎡᏂ	[usgaʔeːni] /rrd/
Crab apple	ᏒᎦᏛ ᎢᎾᎨ ᎠᏁᎯ	[svːgdv iːnage aːneːhi] /rrd/
Cracking	ᎠᏛᏍᏆᎶᎠ	[advhsgwaloːʔa] /rrd/
Cracking it	ᎬᏍᏆᎶᎠ	[gvhsgwalóʔa] /rrd/
Crane	ᎧᎾᏍᎦᏫ	[kansgawi] /rrd/
Craving it	ᎠᏍᏉᏍᎦ	[ahsgwóhsga] /rrd/
Crawling	ᎠᏓᏅᏏᏂᏙᎭ	[adaːhnsíːniːdoha] /rrd/
Crayfish, brown	ᏥᏍᏛᎾ	[tsisdvːna] /rrd/
Crayfish, green	ᏥᏍᏛᎾ	[tsisdvːna] /rrd/
Crayfish, red	ᏥᏍᎪᎩᎵ	[tsisgoːgili] /rrd/
Crazy	ᎤᎸᏗᎭ	[uːlvːdiha] /rrd/
Creating	ᎪᏒᏍᎦ	[gósvːsga] /rrd/
Creek	ᎠᎹᎨᏴᎢ	[amaːgeːyvːʔi] /rrd/
Creek	ᎠᏂᎧᏫᏔ	[aniːkawiːta] (lower) /rrd/
Creek	ᎠᏂᎫᏏ	[aniːkuːsi] (upper) /rrd/
Crested iris	ᎤᏍᎦᎢ	[usgaʔhi] /rrd/
Cricket	ᏔᎳᏚ	[talaːdu] /rrd/
Crimson beebalm	ᏩᎴᎷ ᎤᏂᏣᎩᏍᏗ	[waleːlu unitsagiːsdi] /rrd/
Crippled	ᎠᎵᎡᏂᎠ	[aliːʔeːni] /rrd/
Cross	ᏗᏓᎾᏫᏓ	[didaːnawiːda] /rrd/
Crossing	ᏓᏐᎧ	[daːsoka] /rrd/
Crotalus horridus	ᎠᏨᏯ ᎤᏦᏅᏗ	[atsvya utsoːnvdi] /rrd/
Crotalus horridus	ᎤᏦᎾᏗ	[uːtsoːnadi] /rrd/
Crotalus horridus	ᏓᎶᏂᎨ ᎤᏦᏅᏗ	[daloːnige utsoːnvdi] /rrd/
Crow	ᎪᎦ	[koːga] /rrd/
Crow bar	ᏩᎧ ᎤᎳᏏᏗ	[waka ulasiːdi] /rrd/
Crown of his head	ᎠᏴᏍᎨᏂ	[ayhsgeːni] /rrd/
Crowsfoot	ᎠᎾᎵᏍᏆᎸᏍᎩ	[anahlsgwalvhsgi] /rrd/
Crying	ᎠᏦᏱᎭ	[atsoːhyiha] /rrd/
Crying out	ᎤᏪᎷᎦ	[uːwehluhga] /rrd/
Cucumber	ᎦᎦᎹ	[gaːgama] /rrd/
Cucumber tree	ᏧᏆᎶᎦ ᏤᏆ	[tsuːgwaloːga tseːgwa] /rrd/
Cucumis melo	ᎦᏩᏒᎩ	[gaːwhsvːgi] /rrd/
Cucumis sativus	ᎦᎦᎹ	[gaːgama] /rrd/
Cucurbita maxima	ᎤᎾᏤᏥᏍᏗ	[untseːtshsdi] /rrd/
Cucurbita spp	ᏩᎩᎦ	[waːgiːga] /rrd/
Cullowhee, NC	ᎦᎶᎯ	[gaːhlohi] /rrd/
Cup	ᎦᏄᎱᎵᏗ	[gaːnuhuːhldi] /rrd/
Curled dock	ᏓᎦᎩ	[daːgki] /rrd/
Curtains	ᏗᏯᏙᎳᏛᏗ	[diːhyadoːladvːdi] /rrd/
Cutting a tree	ᎦᎴᏴᏍᏗᎭ	[galeyvːsdiːha] /rrd/
Cutting his nails	ᏓᏓᏑᎧᎵᎭ	[daːdaːsúkaliha] /rrd/
Cutting into strips	ᎦᎸᏓᏍᎦ	[galvːdaːsga] /rrd/
Cutting it off	ᎠᎦᎵᏍᎦ	[agaʔlihsga] (something flexible) /rrd/
Cutting it off	ᎠᏍᏆᎵᏍᎦ	[ahsgwáʔlihsga] (something long) /rrd/
Cutting it off	ᎠᎬᎭᎵᎭ	[agv́haliha] (something solid) /rrd/
Cutting it with a knife	ᎠᏰᎶᎭ	[ahyelhoha] /rrd/
Cutting it with an axe	ᎦᎷᏱᏍᎦ	[galúʔyhsga] /rrd/
Cutting someone's hair	ᎠᏍᏙᏰᎭ	[ahsdóːyeha] /rrd/
Cutting the head off of a cabbage	ᎠᏍᎫᏓᎩᎠ	[asguːdagːiʔa] /rrd/
Cutting weeds	ᎠᏣᎦᏍᎦ	[atsaːksga] /rrd/
Cyanocitta cristata	ᏣᏱᎦ	[tsahyga] /rrd/
Cynoglossum virginianum	ᎤᏂᏍᏕᎴᏍᏗ	[unisdeleːhsdi] /rrd/
Cypripedium spp	ᎤᎫᏇ ᎤᎳᏑᎳ	[ukgwe ulahsula] /rrd/
Dancing	ᎠᎵᏍᎩᎠ	[ahlsgíʔa] /rrd/
Dark	ᎱᎵᏏᎬᎢ	[huːhlsiːgvʔi] (in the) /rrd/
Dark-eyed junco	ᏚᏘ	[tuːti] /rrd/
Dart	ᏥᏥ	[tsiːtsi] (for a blow gun) /rrd/
Daughter-in-law	ᎤᏦᎢ	[uːtsoːʔi] (his) /rrd/
Dawn	ᏑᎾᎴᎢᏣ	[suːnaːleʔiːtsa] /rrd/
Day	ᎢᎦ	[iːga] /rrd/
Day	ᎤᏙᏛᏆᏛ	[udoːdvgwadv] /rrd/
Dead	ᎤᎵᏬᏨᎯ	[uliwoːtsvhi] /rrd/
Dead	ᎤᏲᏒᎯ	[uyhoːsvhi] /rrd/
Deaf	ᏧᎵᎡᏂ	[tsuːliʔeːni] (in both hears) /rrd/
December	ᎥᏍᎩᏱ	[vːsgiːyi] /rrd/
Deep	ᎠᏍᏛᎧ	[ahsdv́hga] /rrd/
Deep	ᎭᏫᏂ	[hawiːni] /rrd/
Deep	ᎰᏫᏂ	[howiːni] /rrd/
Deer	ᎠᏫ	[ahwi] /rrd/
Deer clan	ᎠᏂᎧᏫ	[aniːkawi] /rrd/
Deer tongue	ᎠᏫ ᎦᏁᎪᎢ	[ahwi gahngoʔi] /rrd/
Deer-eye	ᎠᏫ ᎠᎦᏔ	[ahwi akta] (black eyed susan) /rrd/
Defecating	ᏓᏗᎦᏍᎦ	[daːdiːksga] /rrd/
Degenerant	ᎤᎸᏅᏘᏍᎩ	[uːlvntihsgi] /rrd/
Delaware Indians	ᎠᎾᏆᏂᎩ	[anaːkwaːnki] /rrd/
Delegating him to do …	ᎦᏅᏍᎦ	[ganvːsga] /rrd/
Denying it	ᎠᏕᏱᎭ	[adeːhyiha] /rrd/
Detiyi	ᎤᏍᎫᏩᏗᎠ	[uːhsgúːwadiʔa] /rrd/
Devil	ᎠᏍᎩᎾ	[asgiːna] /rrd/
Dew on the ground	ᎤᏰᏌᏛ	[uhyeːsadv] /rrd/
Dewberries	ᏌᎶᎵ ᎠᎦᏔ	[saloːli akta] /rrd/
Diaper	ᎠᏐᏍᏗ	[ahsoːsdi] /rrd/
Didelphis virginiana	ᎤᏤᏥᏍᏗ	[uːtseːdsdi] /rrd/
Different	ᎤᏓᎴᎯ	[uːdaleːhi] /rrd/
Different from	ᏓᏓᎴᎦ	[daːdaleʔga] /rrd/
Digging	ᎠᏍᎪᏍᎦ	[ahsgohsga] /rrd/
Dime	ᏍᎪᎯᏎᎾᏏ	[sgoːhiseːnsi] /rrd/
Diospyros virginiana	ᏌᎵ	[saːli] /rrd/
Dipping a liquid	ᎠᎫᎩᎠ	[akuːgiːʔa] /rrd/
Dirt	ᎦᏓ	[gaːhda] /rrd/
Dirty	ᎦᏓᎭ	[gaːhdaha] /rrd/
Disciple	ᏗᏕᎶᏆᏍᎩ	[diːdeloːgwaːsgi] /rrd/
Disease	ᎱᏳᎩ	[huːhyuːgi] /rrd/
